Date,bitcoin_time,bitcoin_high,bitcoin_low,bitcoin_open,bitcoin_volumefrom,bitcoin_volumeto,bitcoin_close,bitcoin_conversionType,bitcoin_top_tier_volume_quote,bitcoin_top_tier_volume_base,bitcoin_top_tier_volume_total,bitcoin_cccagg_volume_quote,bitcoin_cccagg_volume_base,bitcoin_cccagg_volume_total,bitcoin_total_volume_quote,bitcoin_total_volume_base,bitcoin_total_volume_total,bitcoin_volume,S&P 500 Energy.csv_Open,S&P 500 Energy.csv_High,S&P 500 Energy.csv_Low,S&P 500 Energy.csv_Close,S&P 500 Energy.csv_Volume,S&P 500 Energy.csv_Dividends,S&P 500 Energy.csv_Stock Splits,S&P 500 Energy.csv_Capital Gains
2018-07-02,2018.7.2,6673.71,5537.86,6342.69,73069.19,465915661.2,6615.66,direct,1350480543.0,1022805448.0,2373286057.0,1898307999.0,1621820118.0,3520128117.0,3867547716.0,5029170219.0,8896717869.0,7518615357.0,57.14451008873315,57.15966322911184,56.38672587823528,56.69741439819336,15296600,0.0,0.0,0.0
2018-07-03,2018.7.3,6670.3,6473.48,6616.6,54662.02,356390899.0,6509.58,direct,1610292706.0,907597605.6,2517890312.0,2148916121.0,1484001711.0,3632917897.0,4378025190.0,4533031699.0,8911056889.0,7751652324.0,57.28850018399945,57.94019523848058,56.9171874422627,57.0535888671875,9308200,0.0,0.0,0.0
2018-07-05,2018.7.5,6691.32,6448.23,6589.77,63771.67,421189063.0,6534.81,direct,1184121491.0,982054056.8,2166175548.0,15188127246.0,1789325014.0,16977452260.0,17000671943.0,5860800090.0,22861471968.0,20699959268.0,57.40216613790428,57.58403276825201,56.82624839679453,56.99296188354492,9969500,0.0,0.0,0.0
2018-07-06,2018.7.6,6633.44,6458.14,6534.81,47259.68,310759733.1,6602.02,direct,1237728950.0,777441925.5,2015170876.0,1799179387.0,1867427175.0,3666606562.0,3661420016.0,5252729984.0,8914149999.0,6989548737.0,56.818662672092216,57.52340221942433,56.55343357315288,57.341529846191406,9310300,0.0,0.0,0.0
2018-07-09,2018.7.9,6803.1,6625.58,6707.46,48761.43,328316145.8,6668.84,direct,1092805805.0,739359819.4,1832165625.0,1610601818.0,2819385820.0,4429987572.0,3254987780.0,488808000000.0,492063000000.0,7778582391.0,57.69011794355822,58.28119456693374,57.659805877120846,58.19783782958984,11059200,0.0,0.0,0.0
2018-07-10,2018.7.10,6683.61,6277.23,6668.84,72513.31,470432142.7,6306.85,direct,1069086442.0,1021011216.0,2090097658.0,1547053150.0,2521369458.0,4068422609.0,3130910807.0,6889478254.0,10020389060.0,7443966036.0,58.55399294243052,59.10717805006409,58.48579512746187,58.62977600097656,11003600,0.0,0.0,0.0
2018-07-11,2018.7.11,6405.59,6293.68,6306.87,51054.67,327667754.4,6394.36,direct,1021445489.0,788487764.3,1809933190.0,1513928801.0,2287893695.0,3801822497.0,3072259399.0,6292230625.0,9364490024.0,6621034115.0,58.08416112653906,58.4403206319472,57.00810893081192,57.387001037597656,19362800,0.0,0.0,0.0
2018-07-12,2018.7.12,6394.93,6084.0,6394.36,65555.38,409078182.7,6253.6,direct,916820159.4,895531091.5,1812351188.0,1534419317.0,2463081231.0,3997500485.0,3158305387.0,6901178290.0,10059483677.0,7183822875.0,57.53855262606859,57.856820591952754,57.07630381690778,57.48550796508789,12568000,0.0,0.0,0.0
2018-07-13,2018.7.13,6349.21,6131.54,6253.66,50964.41,319802272.0,6229.83,direct,1072453647.0,726922169.0,1799375816.0,1877451846.0,2206510532.0,4083962378.0,3847756567.0,5794715934.0,9642472563.0,7368963885.0,57.538553640169006,58.13720384260756,57.38699911510576,57.78862380981445,11423100,0.0,0.0,0.0
2018-07-16,2018.7.16,6761.84,6349.83,6364.26,74798.53,494264915.9,6740.55,direct,1187484648.0,1190970389.0,2378455037.0,2084306939.0,2522747362.0,4607054301.0,4227703764.0,7485005933.0,11712709697.0,8165363819.0,57.22028077287189,57.50065719839317,56.63678376029022,57.12176513671875,11390600,0.0,0.0,0.0
